Hazelnut Brown,183,139,97,3828
Hazelnut Brown Dk,160,112,66,420
Hazelnut Brown V Dk,131,94,57,869
Topaz,228,180,104,728
Topaz Medium,206,145,36,783
Topaz Dark,174,119,32,782
Topaz Very Dark,162,109,32,781
Topaz Ultra Vy Dk,148,99,26,780
Old Gold Lt,229,206,151,676
Old Gold Medium,208,165,62,729
Old Gold Dark,188,141,14,680
Old Gold Vy Dark,169,130,4,3829
Straw Light,246,220,152,3822
Straw,243,206,117,3821
Straw Dark,223,182,95,3820
Straw Very Dark,205,157,55,3852
Lemon Light,255,251,139,445
Lemon,253,237,84,307
Canary Bright,255,227,0,973
Lemon Dark,255,214,0,444
Golden Yellow Vy Lt,253,249,205,3078
Topaz Vy Lt,255,241,175,727
Topaz Light,253,215,85,726
Topaz Med Lt,255,200,64,725
Canary Deep,255,181,21,972
Yellow Pale Light,255,233,173,745
Yellow Pale,255,231,147,744
Yellow Med,254,211,118,743
Tangerine Light,255,191,87,742
Tangerine Med,255,163,43,741
Tangerine,255,139,0,740
Pumpkin Light,247,139,19,970
Pumpkin,246,127,0,971
Burnt Orange,255,123,77,947
Burnt Orange Med,235,99,7,946
Burnt Orange Dark,209,88,7,900
Apricot Very Light,255,222,213,967
Apricot Light,254,205,194,3824
Apricot,252,171,152,3341
Apricot Med,255,131,111,3340
Burnt Orange Bright,253,93,53,608
Orange?Red Bright,250,50,3,606
Tawny Light,255,226,207,951
Mahogany Ult Vy Lt,255,211,181,3856
Orange Spice Light,247,151,111,722
Orange Spice Med,242,120,66,721
Orange Spice Dark,229,92,31,720
Pumpkin Pale,253,189,150,3825
Copper Light,226,115,35,922
Copper,198,98,24,921
Copper Med,172,84,20,920
Red?Copper,166,69,16,919
Red?Copper Dark,130,52,10,918
Tawny Vy Light,255,238,227,3770
Tawny,251,213,187,945
Mahogany Vy Lt,247,167,119,402
Mahogany Light,207,121,57,3776
Mahogany Med,179,95,43,301
Mahogany Dark,143,67,15,400
Mahogany Vy Dk,111,47,0,300
Yellow Ultra Pale,255,253,227,3823
Autumn Gold Lt,250,211,150,3855
Autumn Gold Med,242,175,104,3854
Autumn Gold Dk,242,151,70,3853
Golden Brown Pale,247,187,119,3827
Golden Brown Light,220,156,86,977
Golden Brown Med,194,129,66,976
Golden Brown,173,114,57,3826
Golden Brown Dk,145,79,18,975
Peach Very Light,254,231,218,948
Peach Light,247,203,191,754
Terra Cotta Ult Vy Lt,244,187,169,3771
Terra Cotta Vy Lt,238,170,155,758
Terra Cotta Light,217,137,120,3778
Terra Cotta Med,197,106,91,356
Terra Cotta,185,85,68,3830
Terra Cotta Dark,152,68,54,355
Terra Cotta Vy Dk,134,48,34,3777
Rosewood Ult Vy Lt,248,202,200,3779
Rosewood Light,186,139,124,3859
Rosewood Med,150,74,63,3858
Rosewood Dark,104,37,26,3857
Desert Sand Vy Lt,243,225,215,3774
Desert Sand Light,238,211,196,950
Desert Sand,196,142,112,3064
Desert Sand Med,187,129,97,407
Desert Sand Dark,182,117,82,3773
Desert Sand Vy Dk,160,108,80,3772
Desert Sand Ult Vy Dk,135,85,57,632
Shell Gray Light,215,206,203,453
Shell Gray Med,192,179,174,452
Shell Gray Dark,145,123,115,451
Cocoa Light,166,136,129,3861
Cocoa,125,93,87,3860
Cocoa Dark,98,75,69,779
Cream,255,251,239,712
Tan Ult Vy Lt,248,228,200,739
Tan Very Light,236,204,158,738
Tan Light,228,187,142,437
Tan,203,144,81,436
Brown Very Light,184,119,72,435
Brown Light,152,94,51,434
Brown Med,122,69,31,433
Coffee Brown Dk,101,57,25,801
Coffee Brown Vy Dk,73,42,19,898
Coffee Brown Ult Dk,54,31,14,938
Black Brown,30,17,8,3371
Beige Brown Ult Vy Lt,242,227,206,543
Mocha Beige Light,203,182,156,3864
Mocha Beige Med,164,131,92,3863
Mocha Beige Dark,138,110,78,3862
Mocha Brown Vy Dk,75,60,42,3031
Snow White,255,255,255,B5200
White,252,251,248,White
Winter White,249,247,241,3865
Ecru,240,234,218,Ecru
Beige Gray Light,231,226,211,822
Beige Gray Med,221,216,203,644
Beige Gray Dark,164,152,120,642
Beige Gray Vy Dk,133,123,97,640
Brown Gray Dark,98,93,80,3787
Brown Gray Vy Dk,79,75,65,3021
Brown Gray Vy Lt,235,234,231,3024
Brown Gray Light,177,170,151,3023
Brown Gray Med,142,144,120,3022
Ash Gray Vy Lt,99,100,88,535
Mocha Brown Vy Lt,227,216,204,3033
Mocha Brown Lt,210,188,166,3782
Mocha Brown Med,179,159,139,3032
Beige Gray Ult Dk,127,106,85,3790
Mocha Brown Dk,107,87,67,3781
Mocha Brn Ult Vy Lt,250,246,240,3866
Beige Brown Vy Lt,209,186,161,842
Beige Brown Lt,182,155,126,841
Beige Brown Med,154,124,92,840
Beige Brown Dk,103,85,65,839
Beige Brown Vy Dk,89,73,55,838
Beaver Gray Vy Lt,230,232,232,3072
Beaver Gray Lt,188,180,172,648
Beaver Gray Med,176,166,156,647
Beaver Gray Dk,135,125,115,646
Beaver Gray Vy Dk,110,101,92,645
Beaver Gray Ult Dk,72,72,72,844
Pearl Gray Vy Lt,236,236,236,762
Pearl Gray,211,211,214,415
Steel Gray Lt,171,171,171,318
Steel Gray Dk,140,140,140,414
Pewter Very Light,209,209,209,168
Pewter Light,132,132,132,169
Pewter Gray,108,108,108,317
Pewter Gray Dark,86,86,86,413
Pewter Gray Vy Dk,66,66,66,3799
Black,0,0,0,310
